Website,CDN_Server_1,CDN_Server_2,CDN_Server_3,CDN_Server_4,CDN_Server_5,CDN_Server_6,CDN_Server_7,CDN_Server_8,CDN_Server_9,CDN_Server_10,CDN_Server_11,CDN_Server_12,CDN_Server_13,IP1,IP2,IP3,IP4,IP5,IP6,IP7,IP8,IP9,IP10,IP11,IP12,IP13
intuit.com,a104-108-229-53.deploy.static.akamaitechnologies.com,a23-7-78-180.deploy.static.akamaitechnologies.com,a104-103-183-154.deploy.static.akamaitechnologies.com,a104-103-206-225.deploy.static.akamaitechnologies.com,a69-192-28-101.deploy.static.akamaitechnologies.com,a23-77-20-220.deploy.static.akamaitechnologies.com,a104-74-35-154.deploy.static.akamaitechnologies.com,a23-204-3-140.deploy.static.akamaitechnologies.com,a23-2-234-225.deploy.static.akamaitechnologies.com,a23-56-203-151.deploy.static.akamaitechnologies.com,a173-222-100-254.deploy.static.akamaitechnologies.com,,,104.108.229.53,23.7.78.180,104.103.183.154,104.103.206.225,69.192.28.101,23.77.20.220,104.74.35.154,23.204.3.140,23.2.234.225,23.56.203.151,173.222.100.254,None,None
wa.me,whatsapp-cdn-shv-01-yyz1.fbcdn.net,whatsapp-cdn-shv-02-lga3.fbcdn.net,whatsapp-cdn-shv-02-fra3.fbcdn.net,whatsapp-cdn-shv-01-lga3.fbcdn.net,whatsapp-cdn-shv-04-sin6.fbcdn.net,whatsapp-cdn-shv-01-syd2.fbcdn.net,whatsapp-cdn-shv-02-pnq1.fbcdn.net,whatsapp-cdn-shv-01-atl3.fbcdn.net,whatsapp-cdn-shv-01-ams4.fbcdn.net,whatsapp-cdn-shv-01-sjc3.fbcdn.net,whatsapp-cdn-shv-02-lhr8.fbcdn.net,,,31.13.80.53,157.240.241.60,157.240.0.60,31.13.71.49,157.240.235.60,157.240.8.53,157.240.237.60,31.13.65.49,157.240.201.60,157.240.22.53,157.240.214.60,None,None
ui.com,server-3-168-86-77.sfo5.r.cloudfront.net,server-3-164-92-118.yto53.r.cloudfront.net,server-18-154-227-21.iad55.r.cloudfront.net,server-18-164-96-86.jfk50.r.cloudfront.net,server-18-164-96-44.jfk50.r.cloudfront.net,server-13-227-254-103.sin52.r.cloudfront.net,server-18-245-60-87.fra60.r.cloudfront.net,server-18-239-36-81.ams58.r.cloudfront.net,server-108-158-20-76.syd62.r.cloudfront.net,server-3-168-86-101.sfo5.r.cloudfront.net,server-18-172-78-105.bom78.r.cloudfront.net,server-18-245-60-111.fra60.r.cloudfront.net,,3.168.86.77,3.164.92.118,18.154.227.21,18.164.96.86,18.164.96.44,13.227.254.103,18.245.60.87,18.239.36.81,108.158.20.76,3.168.86.101,18.172.78.105,18.245.60.111,None
github.io,cdn-185-199-109-153.github.com,cdn-185-199-110-153.github.com,cdn-185-199-108-153.github.com,cdn-185-199-111-153.github.com,,,,,,,,,,185.199.109.153,185.199.110.153,185.199.108.153,185.199.111.153,None,None,None,None,None,None,None,None,None
flickr.com,server-18-67-109-123.syd62.r.cloudfront.net,server-18-245-68-109.fra60.r.cloudfront.net,server-18-67-29-129.yto50.r.cloudfront.net,server-18-239-79-109.ams58.r.cloudfront.net,server-13-33-37-122.sin2.r.cloudfront.net,server-13-249-42-22.iad89.r.cloudfront.net,server-18-164-95-128.jfk50.r.cloudfront.net,server-99-84-231-85.sfo5.r.cloudfront.net,server-108-158-50-125.bom78.r.cloudfront.net,,,,,18.67.109.123,18.245.68.109,18.67.29.129,18.239.79.109,13.33.37.122,13.249.42.22,18.164.95.128,99.84.231.85,108.158.50.125,None,None,None,None
meraki.com,server-3-164-92-97.yto53.r.cloudfront.net,server-108-156-133-68.sin2.r.cloudfront.net,server-108-159-61-105.bom78.r.cloudfront.net,server-18-65-244-99.syd3.r.cloudfront.net,server-108-138-246-71.sfo5.r.cloudfront.net,server-18-154-227-110.iad55.r.cloudfront.net,server-18-239-18-4.ams58.r.cloudfront.net,server-18-173-132-80.jfk52.r.cloudfront.net,server-13-33-187-29.fra60.r.cloudfront.net,server-18-245-86-39.fra60.r.cloudfront.net,server-18-173-132-99.jfk52.r.cloudfront.net,,,3.164.92.97,108.156.133.68,108.159.61.105,18.65.244.99,108.138.246.71,18.154.227.110,18.239.18.4,18.173.132.80,13.33.187.29,18.245.86.39,18.173.132.99,None,None
soundcloud.com,server-18-67-195-72.bom78.r.cloudfront.net,server-3-168-73-128.jfk50.r.cloudfront.net,server-3-168-122-118.jfk52.r.cloudfront.net,server-13-35-58-90.fra60.r.cloudfront.net,server-18-67-65-74.iad89.r.cloudfront.net,server-18-245-96-108.yto50.r.cloudfront.net,server-3-168-73-19.jfk50.r.cloudfront.net,server-18-238-243-19.ams58.r.cloudfront.net,server-18-155-192-59.sfo53.r.cloudfront.net,server-13-33-88-85.sin2.r.cloudfront.net,server-108-158-32-101.syd3.r.cloudfront.net,,,18.67.195.72,3.168.73.128,3.168.122.118,13.35.58.90,18.67.65.74,18.245.96.108,3.168.73.19,18.238.243.19,18.155.192.59,13.33.88.85,108.158.32.101,None,None
ebay.com,a23-67-33-5.deploy.static.akamaitechnologies.com,a2-19-248-89.deploy.static.akamaitechnologies.com,a104-93-21-145.deploy.static.akamaitechnologies.com,a23-33-42-144.deploy.static.akamaitechnologies.com,a23-215-7-30.deploy.static.akamaitechnologies.com,a23-32-5-151.deploy.static.akamaitechnologies.com,a184-50-85-145.deploy.static.akamaitechnologies.com,a2-16-6-34.deploy.static.akamaitechnologies.com,a2-16-6-12.deploy.static.akamaitechnologies.com,,,,,23.67.33.5,2.19.248.89,104.93.21.145,23.33.42.144,23.215.7.30,23.32.5.151,184.50.85.145,2.16.6.34,2.16.6.12,None,None,None,None
amazonvideo.com,server-18-160-46-105.iad55.r.cloudfront.net,server-18-66-102-60.fra56.r.cloudfront.net,server-18-155-202-12.sfo53.r.cloudfront.net,server-18-239-83-55.ams58.r.cloudfront.net,server-108-138-106-42.jfk50.r.cloudfront.net,server-18-67-110-12.syd62.r.cloudfront.net,server-18-239-142-74.bom54.r.cloudfront.net,server-18-155-202-52.sfo53.r.cloudfront.net,server-18-66-102-31.fra56.r.cloudfront.net,server-3-164-92-2.yto53.r.cloudfront.net,server-13-35-238-112.sin2.r.cloudfront.net,server-108-138-106-119.jfk50.r.cloudfront.net,,18.160.46.105,18.66.102.60,18.155.202.12,18.239.83.55,108.138.106.42,18.67.110.12,18.239.142.74,18.155.202.52,18.66.102.31,3.164.92.2,13.35.238.112,108.138.106.119,None
mit.edu,a104-71-146-23.deploy.static.akamaitechnologies.com,a23-7-40-14.deploy.static.akamaitechnologies.com,a23-51-66-24.deploy.static.akamaitechnologies.com,a23-47-252-248.deploy.static.akamaitechnologies.com,a184-25-77-54.deploy.static.akamaitechnologies.com,a23-195-226-28.deploy.static.akamaitechnologies.com,a23-214-134-87.deploy.static.akamaitechnologies.com,a104-74-34-26.deploy.static.akamaitechnologies.com,a184-28-207-115.deploy.static.akamaitechnologies.com,a23-212-212-91.deploy.static.akamaitechnologies.com,a104-69-40-155.deploy.static.akamaitechnologies.com,,,104.71.146.23,23.7.40.14,23.51.66.24,23.47.252.248,184.25.77.54,23.195.226.28,23.214.134.87,104.74.34.26,184.28.207.115,23.212.212.91,104.69.40.155,None,None
salesforce.com,a184-31-10-133.deploy.static.akamaitechnologies.com,a104-109-11-129.deploy.static.akamaitechnologies.com,a23-1-35-132.deploy.static.akamaitechnologies.com,a23-1-106-133.deploy.static.akamaitechnologies.com,a184-25-179-132.deploy.static.akamaitechnologies.com,a23-1-99-130.deploy.static.akamaitechnologies.com,,,,,,,,184.31.10.133,104.109.11.129,23.1.35.132,23.1.106.133,184.25.179.132,23.1.99.130,None,None,None,None,None,None,None
booking.com,server-18-172-64-69.bom78.r.cloudfront.net,server-52-85-61-64.ewr53.r.cloudfront.net,server-108-158-20-9.syd62.r.cloudfront.net,server-18-239-199-14.sfo53.r.cloudfront.net,server-18-65-39-125.ams1.r.cloudfront.net,server-18-245-60-76.fra60.r.cloudfront.net,server-108-157-254-54.sin2.r.cloudfront.net,server-18-67-17-67.yto50.r.cloudfront.net,server-52-85-61-119.ewr53.r.cloudfront.net,server-52-85-61-78.ewr53.r.cloudfront.net,server-18-245-60-68.fra60.r.cloudfront.net,server-108-138-64-79.iad12.r.cloudfront.net,,18.172.64.69,52.85.61.64,108.158.20.9,18.239.199.14,18.65.39.125,18.245.60.76,108.157.254.54,18.67.17.67,52.85.61.119,52.85.61.78,18.245.60.68,108.138.64.79,None
grammarly.com,server-3-164-92-54.yto53.r.cloudfront.net,server-13-226-34-11.ewr53.r.cloudfront.net,server-108-159-61-124.bom78.r.cloudfront.net,server-18-154-227-40.iad55.r.cloudfront.net,server-108-156-133-44.sin2.r.cloudfront.net,server-13-226-34-35.ewr53.r.cloudfront.net,server-108-138-7-99.fra56.r.cloudfront.net,server-18-239-18-69.ams58.r.cloudfront.net,server-108-139-10-129.sfo5.r.cloudfront.net,server-108-138-7-27.fra56.r.cloudfront.net,server-18-65-244-126.syd3.r.cloudfront.net,,,3.164.92.54,13.226.34.11,108.159.61.124,18.154.227.40,108.156.133.44,13.226.34.35,108.138.7.99,18.239.18.69,108.139.10.129,108.138.7.27,18.65.244.126,None,None
espn.com,server-18-245-31-24.fra56.r.cloudfront.net,server-13-35-238-94.sin2.r.cloudfront.net,server-18-65-244-34.syd3.r.cloudfront.net,server-3-171-139-127.jfk52.r.cloudfront.net,server-108-138-246-18.sfo5.r.cloudfront.net,server-108-138-246-102.sfo5.r.cloudfront.net,server-18-67-39-38.yto50.r.cloudfront.net,server-18-239-18-86.ams58.r.cloudfront.net,server-18-66-41-90.bom78.r.cloudfront.net,server-18-165-83-90.iad55.r.cloudfront.net,,,,18.245.31.24,13.35.238.94,18.65.244.34,3.171.139.127,108.138.246.18,108.138.246.102,18.67.39.38,18.239.18.86,18.66.41.90,18.165.83.90,None,None,None
3lift.com,server-13-226-34-78.ewr53.r.cloudfront.net,server-65-8-161-82.sfo53.r.cloudfront.net,server-18-245-86-13.fra60.r.cloudfront.net,server-3-162-112-58.iad61.r.cloudfront.net,server-18-67-17-110.yto50.r.cloudfront.net,server-18-245-86-80.fra60.r.cloudfront.net,server-13-35-238-18.sin2.r.cloudfront.net,server-18-67-110-23.syd62.r.cloudfront.net,server-108-159-61-91.bom78.r.cloudfront.net,server-13-226-34-20.ewr53.r.cloudfront.net,server-18-239-36-29.ams58.r.cloudfront.net,server-13-226-34-103.ewr53.r.cloudfront.net,,13.226.34.78,65.8.161.82,18.245.86.13,3.162.112.58,18.67.17.110,18.245.86.80,13.35.238.18,18.67.110.23,108.159.61.91,13.226.34.20,18.239.36.29,13.226.34.103,None
avast.com,a23-215-57-50.deploy.static.akamaitechnologies.com,a184-30-157-186.deploy.static.akamaitechnologies.com,a104-96-173-181.deploy.static.akamaitechnologies.com,a23-34-209-71.deploy.static.akamaitechnologies.com,a2-19-225-229.deploy.static.akamaitechnologies.com,a23-56-163-124.deploy.static.akamaitechnologies.com,a23-54-57-104.deploy.static.akamaitechnologies.com,a23-37-17-178.deploy.static.akamaitechnologies.com,a104-121-229-180.deploy.static.akamaitechnologies.com,a23-35-190-131.deploy.static.akamaitechnologies.com,,,,23.215.57.50,184.30.157.186,104.96.173.181,23.34.209.71,2.19.225.229,23.56.163.124,23.54.57.104,23.37.17.178,104.121.229.180,23.35.190.131,None,None,None
pubmatic.com,server-18-64-155-55.atl56.r.cloudfront.net,server-18-239-50-101.ams58.r.cloudfront.net,server-18-155-202-118.sfo53.r.cloudfront.net,server-18-67-161-13.maa51.r.cloudfront.net,server-13-32-99-59.fra60.r.cloudfront.net,server-13-249-91-44.jfk52.r.cloudfront.net,server-18-245-162-39.lhr5.r.cloudfront.net,server-18-155-202-39.sfo53.r.cloudfront.net,server-18-65-244-16.syd3.r.cloudfront.net,server-54-192-51-104.yul62.r.cloudfront.net,server-13-249-91-20.jfk52.r.cloudfront.net,server-108-156-133-49.sin2.r.cloudfront.net,,18.64.155.55,18.239.50.101,18.155.202.118,18.67.161.13,13.32.99.59,13.249.91.44,18.245.162.39,18.155.202.39,18.65.244.16,54.192.51.104,13.249.91.20,108.156.133.49,None
dailymail.co.uk,a184-25-161-10.deploy.static.akamaitechnologies.com,a104-123-40-174.deploy.static.akamaitechnologies.com,a23-41-170-87.deploy.static.akamaitechnologies.com,a23-37-16-228.deploy.static.akamaitechnologies.com,a23-221-132-210.deploy.static.akamaitechnologies.com,a23-5-111-249.deploy.static.akamaitechnologies.com,a104-83-196-184.deploy.static.akamaitechnologies.com,a104-99-48-228.deploy.static.akamaitechnologies.com,a23-35-230-35.deploy.static.akamaitechnologies.com,a23-54-200-199.deploy.static.akamaitechnologies.com,a184-25-192-213.deploy.static.akamaitechnologies.com,,,184.25.161.10,104.123.40.174,23.41.170.87,23.37.16.228,23.221.132.210,23.5.111.249,104.83.196.184,104.99.48.228,23.35.230.35,23.54.200.199,184.25.192.213,None,None
washingtonpost.com,a23-194-226-67.deploy.static.akamaitechnologies.com,a23-203-236-165.deploy.static.akamaitechnologies.com,a23-47-230-164.deploy.static.akamaitechnologies.com,a104-103-204-164.deploy.static.akamaitechnologies.com,a104-74-34-91.deploy.static.akamaitechnologies.com,a23-204-2-78.deploy.static.akamaitechnologies.com,server-18-67-17-2.yto50.r.cloudfront.net,a23-15-150-132.deploy.static.akamaitechnologies.com,a23-210-114-74.deploy.static.akamaitechnologies.com,a23-61-98-92.deploy.static.akamaitechnologies.com,a23-207-98-102.deploy.static.akamaitechnologies.com,,,23.194.226.67,23.203.236.165,23.47.230.164,104.103.204.164,104.74.34.91,23.204.2.78,18.67.17.2,23.15.150.132,23.210.114.74,23.61.98.92,23.207.98.102,None,None
steampowered.com,a104-74-29-147.deploy.static.akamaitechnologies.com,a104-89-226-113.deploy.static.akamaitechnologies.com,a23-203-76-5.deploy.static.akamaitechnologies.com,a23-201-165-153.deploy.static.akamaitechnologies.com,a23-76-38-100.deploy.static.akamaitechnologies.com,a184-29-116-124.deploy.static.akamaitechnologies.com,a23-62-192-121.deploy.static.akamaitechnologies.com,a173-223-113-143.deploy.static.akamaitechnologies.com,a23-45-100-143.deploy.static.akamaitechnologies.com,a23-43-113-118.deploy.static.akamaitechnologies.com,a23-66-227-126.deploy.static.akamaitechnologies.com,,,104.74.29.147,104.89.226.113,23.203.76.5,23.201.165.153,23.76.38.100,184.29.116.124,23.62.192.121,173.223.113.143,23.45.100.143,23.43.113.118,23.66.227.126,None,None
telegraph.co.uk,server-3-168-86-24.sfo5.r.cloudfront.net,server-18-239-50-41.ams58.r.cloudfront.net,server-18-238-49-56.jfk52.r.cloudfront.net,server-18-67-17-84.yto50.r.cloudfront.net,server-65-9-66-125.fra56.r.cloudfront.net,server-3-167-37-21.iad61.r.cloudfront.net,server-18-238-49-45.jfk52.r.cloudfront.net,server-3-168-86-2.sfo5.r.cloudfront.net,server-18-238-49-3.jfk52.r.cloudfront.net,server-108-156-22-58.hel51.r.cloudfront.net,server-65-9-66-115.fra56.r.cloudfront.net,server-108-156-22-105.hel51.r.cloudfront.net,,3.168.86.24,18.239.50.41,18.238.49.56,18.67.17.84,65.9.66.125,3.167.37.21,18.238.49.45,3.168.86.2,18.238.49.3,108.156.22.58,65.9.66.115,108.156.22.105,None
ibm.com,a184-25-64-64.deploy.static.akamaitechnologies.com,a104-114-107-43.deploy.static.akamaitechnologies.com,a184-87-39-19.deploy.static.akamaitechnologies.com,a104-68-12-92.deploy.static.akamaitechnologies.com,a23-207-115-36.deploy.static.akamaitechnologies.com,a104-103-203-62.deploy.static.akamaitechnologies.com,a23-204-19-19.deploy.static.akamaitechnologies.com,a104-86-93-68.deploy.static.akamaitechnologies.com,a118-215-81-142.deploy.static.akamaitechnologies.com,a95-100-66-218.deploy.static.akamaitechnologies.com,,,,184.25.64.64,104.114.107.43,184.87.39.19,104.68.12.92,23.207.115.36,104.103.203.62,23.204.19.19,104.86.93.68,118.215.81.142,95.100.66.218,None,None,None
adsafeprotected.com,server-18-173-132-128.jfk52.r.cloudfront.net,server-18-244-214-125.sfo53.r.cloudfront.net,server-18-164-52-40.cdg50.r.cloudfront.net,server-18-244-214-42.sfo53.r.cloudfront.net,server-18-66-112-50.fra56.r.cloudfront.net,server-18-239-50-40.ams58.r.cloudfront.net,server-52-222-144-12.mrs52.r.cloudfront.net,server-13-32-230-108.atl56.r.cloudfront.net,server-54-192-51-19.yul62.r.cloudfront.net,server-18-173-132-108.jfk52.r.cloudfront.net,server-52-84-90-27.lhr62.r.cloudfront.net,server-99-84-203-103.lax3.r.cloudfront.net,,18.173.132.128,18.244.214.125,18.164.52.40,18.244.214.42,18.66.112.50,18.239.50.40,52.222.144.12,13.32.230.108,54.192.51.19,18.173.132.108,52.84.90.27,99.84.203.103,None
wsj.com,server-13-225-78-79.fra2.r.cloudfront.net,server-65-8-161-106.sfo53.r.cloudfront.net,server-108-138-128-119.jfk50.r.cloudfront.net,server-18-67-39-23.yto50.r.cloudfront.net,server-108-138-128-10.jfk50.r.cloudfront.net,server-18-160-41-87.iad55.r.cloudfront.net,server-65-8-161-52.sfo53.r.cloudfront.net,server-108-158-32-68.syd3.r.cloudfront.net,server-18-239-111-42.bom54.r.cloudfront.net,server-108-156-60-37.ams1.r.cloudfront.net,server-13-225-78-15.fra2.r.cloudfront.net,server-3-165-102-20.sin2.r.cloudfront.net,,13.225.78.79,65.8.161.106,108.138.128.119,18.67.39.23,108.138.128.10,18.160.41.87,65.8.161.52,108.158.32.68,18.239.111.42,108.156.60.37,13.225.78.15,3.165.102.20,None
weather.com,a104-100-64-171.deploy.static.akamaitechnologies.com,a23-2-23-164.deploy.static.akamaitechnologies.com,a173-222-146-176.deploy.static.akamaitechnologies.com,a23-49-80-81.deploy.static.akamaitechnologies.com,a23-214-143-236.deploy.static.akamaitechnologies.com,a23-56-205-8.deploy.static.akamaitechnologies.com,a69-192-19-101.deploy.static.akamaitechnologies.com,a23-204-10-170.deploy.static.akamaitechnologies.com,a23-51-74-184.deploy.static.akamaitechnologies.com,a104-68-5-110.deploy.static.akamaitechnologies.com,a104-114-95-248.deploy.static.akamaitechnologies.com,,,104.100.64.171,23.2.23.164,173.222.146.176,23.49.80.81,23.214.143.236,23.56.205.8,69.192.19.101,23.204.10.170,23.51.74.184,104.68.5.110,104.114.95.248,None,None
shalltry.com,server-3-168-122-122.jfk52.r.cloudfront.net,server-18-155-192-41.sfo53.r.cloudfront.net,server-13-225-78-26.fra2.r.cloudfront.net,server-18-67-39-6.yto50.r.cloudfront.net,server-18-239-83-101.ams58.r.cloudfront.net,server-18-155-192-8.sfo53.r.cloudfront.net,server-52-222-214-119.fra56.r.cloudfront.net,server-3-168-122-53.jfk52.r.cloudfront.net,server-18-165-122-98.hel51.r.cloudfront.net,server-18-67-76-104.iad89.r.cloudfront.net,,,,3.168.122.122,18.155.192.41,13.225.78.26,18.67.39.6,18.239.83.101,18.155.192.8,52.222.214.119,3.168.122.53,18.165.122.98,18.67.76.104,None,None,None
